eventname,geoid
Arizona Coyotes,2013
Arizona Coyotes,30107
Arizona Coyotes,30045
Arizona Coyotes,20205
Arizona Coyotes,48047
Arizona Coyotes,53051
Boston Bruins,25007
Boston Bruins,25021
Boston Bruins,25009
Boston Bruins,25025
Boston Bruins,25149
Boston Bruins,25047
Boston Bruins,25005
Boston Bruins,33057
Boston Bruins,33015
Boston Bruins,25013
Boston Bruins,9003
Boston Bruins,44007
Boston Bruins,25001
Boston Bruins,23035
Boston Bruins,23031
Boston Bruins,33013
Boston Bruins,33017
Boston Bruins,44001
Boston Bruins,50007
Boston Bruins,25015
Boston Bruins,23011
Boston Bruins,9011
Boston Bruins,25003
Boston Bruins,23001
Boston Bruins,9007
Boston Bruins,9013
Boston Bruins,44129
Boston Bruins,23019
Boston Bruins,33009
Boston Bruins,44005
Boston Bruins,33005
Boston Bruins,33001
Boston Bruins,36001
Boston Bruins,50129
Boston Bruins,23017
Boston Bruins,9015
Boston Bruins,33007
Boston Bruins,44005
Boston Bruins,50021
Boston Bruins,33015
Boston Bruins,50027
Boston Bruins,23003
Boston Bruins,25059
Boston Bruins,23023
Boston Bruins,25007
Boston Bruins,33153
Boston Bruins,25019
Boston Bruins,50005
Boston Bruins,50073
Boston Bruins,50015
Boston Bruins,23027
Boston Bruins,23129
Boston Bruins,50003
Boston Bruins,50015
Boston Bruins,50059
Boston Bruins,23079
Boston Bruins,23095
Boston Bruins,23141
Boston Bruins,23059
Boston Bruins,50001
Boston Bruins,23025
Boston Bruins,36129
Boston Bruins,22073
Boston Bruins,23021
Boston Bruins,36049
Boston Bruins,50009
Boston Bruins,28139
Boston Bruins,13219
Boston Bruins,40131
Boston Bruins,5033
Boston Bruins,48053
Boston Bruins,31027
Boston Bruins,29153
Boston Bruins,18137
Boston Bruins,51007
Boston Bruins,31031
Boston Bruins,72105
Boston Bruins,#N/A
Boston Bruins,51173
Boston Bruins,20197
Boston Bruins,18075
Boston Bruins,20019
Boston Bruins,18079
Boston Bruins,20113
Boston Bruins,51111
Boston Bruins,13123
Boston Bruins,13183
Boston Bruins,28059
Boston Bruins,31131
Boston Bruins,20077
Boston Bruins,#N/A
Boston Bruins,#N/A
Boston Bruins,40015
Boston Bruins,30079
Boston Bruins,35053
Boston Bruins,21045
Boston Bruins,48405
Boston Bruins,29033
Buffalo Sabres,36029
Buffalo Sabres,36099
Buffalo Sabres,36063
Buffalo Sabres,36019
Buffalo Sabres,36067
Buffalo Sabres,36009
Buffalo Sabres,36049
Buffalo Sabres,36069
Buffalo Sabres,36071
Buffalo Sabres,36105
Buffalo Sabres,36121
Buffalo Sabres,36001
Buffalo Sabres,36151
Buffalo Sabres,36011
Buffalo Sabres,36075
Buffalo Sabres,36305
Buffalo Sabres,36015
Buffalo Sabres,36073
Buffalo Sabres,42083
Buffalo Sabres,36089
Buffalo Sabres,36109
Buffalo Sabres,36099
Buffalo Sabres,36023
Buffalo Sabres,36123
Buffalo Sabres,36017
Buffalo Sabres,42105
Buffalo Sabres,36107
Buffalo Sabres,36169
Buffalo Sabres,36061
Buffalo Sabres,37113
Buffalo Sabres,31071
Calgary Flames,37025
Calgary Flames,30035
Calgary Flames,30081
Calgary Flames,30077
Calgary Flames,22059
Calgary Flames,20145
Carolina Hurricanes,37183
Carolina Hurricanes,37081
Carolina Hurricanes,37119
Carolina Hurricanes,37101
Carolina Hurricanes,37063
Carolina Hurricanes,37129
Carolina Hurricanes,37133
Carolina Hurricanes,37059
Carolina Hurricanes,37117
Carolina Hurricanes,37147
Carolina Hurricanes,37035
Carolina Hurricanes,37125
Carolina Hurricanes,37085
Carolina Hurricanes,45051
Carolina Hurricanes,37001
Carolina Hurricanes,37049
Carolina Hurricanes,37051
Carolina Hurricanes,37019
Carolina Hurricanes,37127
Carolina Hurricanes,37305
Carolina Hurricanes,37081
Carolina Hurricanes,37139
Carolina Hurricanes,37205
Carolina Hurricanes,37097
Carolina Hurricanes,37021
Carolina Hurricanes,37111
Carolina Hurricanes,37031
Carolina Hurricanes,37059
Carolina Hurricanes,45031
Carolina Hurricanes,45045
Carolina Hurricanes,37025
Carolina Hurricanes,37141
Carolina Hurricanes,37077
Carolina Hurricanes,45159
Carolina Hurricanes,37057
Carolina Hurricanes,45019
Carolina Hurricanes,37205
Carolina Hurricanes,37035
Carolina Hurricanes,37015
Carolina Hurricanes,37071
Carolina Hurricanes,37169
Carolina Hurricanes,37107
Carolina Hurricanes,45063
Carolina Hurricanes,37013
Carolina Hurricanes,45019
Carolina Hurricanes,37171
Carolina Hurricanes,37093
Carolina Hurricanes,37059
Carolina Hurricanes,45041
Carolina Hurricanes,37145
Carolina Hurricanes,51143
Carolina Hurricanes,51083
Carolina Hurricanes,37065
Carolina Hurricanes,37055
Carolina Hurricanes,37071
Carolina Hurricanes,37163
Carolina Hurricanes,37181
Carolina Hurricanes,51067
Carolina Hurricanes,37033
Carolina Hurricanes,45043
Carolina Hurricanes,45015
Carolina Hurricanes,45119
Carolina Hurricanes,37155
Carolina Hurricanes,37079
Carolina Hurricanes,51033
Carolina Hurricanes,45083
Carolina Hurricanes,37083
Carolina Hurricanes,37245
Carolina Hurricanes,37085
Carolina Hurricanes,37061
Carolina Hurricanes,37047
Carolina Hurricanes,37033
Carolina Hurricanes,37317
Carolina Hurricanes,51037
Carolina Hurricanes,37167
Carolina Hurricanes,51059
Carolina Hurricanes,37087
Carolina Hurricanes,37033
Carolina Hurricanes,45109
Carolina Hurricanes,45055
Carolina Hurricanes,51119
Carolina Hurricanes,37189
Carolina Hurricanes,37139
Carolina Hurricanes,45031
Carolina Hurricanes,45069
Carolina Hurricanes,37197
Carolina Hurricanes,37137
Carolina Hurricanes,37101
Carolina Hurricanes,51000
Carolina Hurricanes,37161
Carolina Hurricanes,37009
Carolina Hurricanes,51171
Carolina Hurricanes,37091
Carolina Hurricanes,45025
Carolina Hurricanes,37063
Carolina Hurricanes,37169
Carolina Hurricanes,37017
Carolina Hurricanes,37177
Carolina Hurricanes,37053
Carolina Hurricanes,37041
Carolina Hurricanes,51111
Carolina Hurricanes,51640
Carolina Hurricanes,37003
Carolina Hurricanes,54083
Carolina Hurricanes,37199
Carolina Hurricanes,51135
Carolina Hurricanes,51019
Carolina Hurricanes,45073
Carolina Hurricanes,13187
Carolina Hurricanes,45065
Carolina Hurricanes,37301
Carolina Hurricanes,51113
Carolina Hurricanes,37173
Carolina Hurricanes,45071
Carolina Hurricanes,20101
Carolina Hurricanes,45081
Carolina Hurricanes,45019
Carolina Hurricanes,13089
Carolina Hurricanes,48129
Carolina Hurricanes,51035
Carolina Hurricanes,51147
Carolina Hurricanes,5029
Carolina Hurricanes,37019
Carolina Hurricanes,51141
Carolina Hurricanes,21183
Carolina Hurricanes,51097
Carolina Hurricanes,28001
Carolina Hurricanes,#N/A
Carolina Hurricanes,45081
Carolina Hurricanes,51081
Carolina Hurricanes,37011
Carolina Hurricanes,37129
Carolina Hurricanes,51053
Carolina Hurricanes,#N/A
Carolina Hurricanes,51085
Chicago Blackhawks,17075
Chicago Blackhawks,17043
Chicago Blackhawks,17197
Chicago Blackhawks,17033
Chicago Blackhawks,17089
Chicago Blackhawks,18033
Chicago Blackhawks,17111
Chicago Blackhawks,18127
Chicago Blackhawks,17093
Chicago Blackhawks,17201
Chicago Blackhawks,17091
Chicago Blackhawks,55079
Chicago Blackhawks,17283
Chicago Blackhawks,17063
Chicago Blackhawks,55025
Chicago Blackhawks,18141
Chicago Blackhawks,17049
Chicago Blackhawks,55059
Chicago Blackhawks,18047
Chicago Blackhawks,17113
Chicago Blackhawks,18091
Chicago Blackhawks,55133
Chicago Blackhawks,17143
Chicago Blackhawks,18093
Chicago Blackhawks,17019
Chicago Blackhawks,19127
Chicago Blackhawks,17179
Chicago Blackhawks,17161
Chicago Blackhawks,55129
Chicago Blackhawks,17087
Chicago Blackhawks,17009
Chicago Blackhawks,31153
Chicago Blackhawks,18039
Chicago Blackhawks,55101
Chicago Blackhawks,18157
Chicago Blackhawks,19061
Chicago Blackhawks,19113
Chicago Blackhawks,17067
Chicago Blackhawks,55133
Chicago Blackhawks,17011
Chicago Blackhawks,17183
Chicago Blackhawks,17105
Chicago Blackhawks,55201
Chicago Blackhawks,18159
Chicago Blackhawks,55129
Chicago Blackhawks,17203
Chicago Blackhawks,55173
Chicago Blackhawks,19013
Chicago Blackhawks,55087
Chicago Blackhawks,17141
Chicago Blackhawks,20177
Chicago Blackhawks,19071
Chicago Blackhawks,17081
Chicago Blackhawks,17195
Chicago Blackhawks,55039
Chicago Blackhawks,17075
Chicago Blackhawks,18009
Chicago Blackhawks,17177
Chicago Blackhawks,18071
Chicago Blackhawks,55111
Chicago Blackhawks,55089
Chicago Blackhawks,55071
Chicago Blackhawks,22103
Chicago Blackhawks,18063
Chicago Blackhawks,18085
Chicago Blackhawks,55117
Chicago Blackhawks,55027
Chicago Blackhawks,55073
Chicago Blackhawks,17147
Chicago Blackhawks,18167
Chicago Blackhawks,18095
Chicago Blackhawks,18149
Chicago Blackhawks,17083
Chicago Blackhawks,19019
Chicago Blackhawks,17095
Chicago Blackhawks,#N/A
Chicago Blackhawks,19139
Chicago Blackhawks,18089
Chicago Blackhawks,45107
Chicago Blackhawks,55071
Chicago Blackhawks,18183
Chicago Blackhawks,19027
Chicago Blackhawks,31091
Chicago Blackhawks,17033
Chicago Blackhawks,17049
Chicago Blackhawks,17085
Chicago Blackhawks,19017
Chicago Blackhawks,19057
Chicago Blackhawks,19007
Chicago Blackhawks,18145
Chicago Blackhawks,18103
Chicago Blackhawks,16067
Chicago Blackhawks,29147
Chicago Blackhawks,21117
Chicago Blackhawks,55095
Chicago Blackhawks,18067
Chicago Blackhawks,19063
Chicago Blackhawks,17107
Chicago Blackhawks,20125
Chicago Blackhawks,18159
Chicago Blackhawks,55029
Chicago Blackhawks,48047
Chicago Blackhawks,17131
Chicago Blackhawks,17053
Chicago Blackhawks,18101
Chicago Blackhawks,18165
Chicago Blackhawks,55015
Chicago Blackhawks,18061
Chicago Blackhawks,55061
Chicago Blackhawks,18087
Chicago Blackhawks,18103
Chicago Blackhawks,18185
Chicago Blackhawks,18069
Chicago Blackhawks,55057
Chicago Blackhawks,19099
Chicago Blackhawks,17047
Chicago Blackhawks,31175
Chicago Blackhawks,5071
Chicago Blackhawks,19115
Chicago Blackhawks,19159
Chicago Blackhawks,20163
Chicago Blackhawks,31087
Chicago Blackhawks,29083
Chicago Blackhawks,2180
Chicago Blackhawks,18007
Chicago Blackhawks,49045
Chicago Blackhawks,17301
Chicago Blackhawks,22077
Chicago Blackhawks,13063
Chicago Blackhawks,48065
Chicago Blackhawks,19129
Chicago Blackhawks,46033
Chicago Blackhawks,31047
Chicago Blackhawks,18027
Chicago Blackhawks,13081
Chicago Blackhawks,13287
Chicago Blackhawks,32079
Chicago Blackhawks,13101
Chicago Blackhawks,28117
Chicago Blackhawks,19077
Chicago Blackhawks,5059
Chicago Blackhawks,55073
Chicago Blackhawks,13063
Chicago Blackhawks,48357
Chicago Blackhawks,2230
Chicago Blackhawks,18059
Chicago Blackhawks,48043
Chicago Blackhawks,20005
Chicago Blackhawks,5037
Chicago Blackhawks,13257
Chicago Blackhawks,45139
Chicago Blackhawks,28043
Chicago Blackhawks,13107
Chicago Blackhawks,18049
Chicago Blackhawks,5137
Chicago Blackhawks,21131
Chicago Blackhawks,78000
Chicago Blackhawks,21147
Chicago Blackhawks,51005
Chicago Blackhawks,1005
Chicago Blackhawks,18009
Chicago Blackhawks,41025
Chicago Blackhawks,30007
Chicago Blackhawks,19095
Chicago Blackhawks,1017
Chicago Blackhawks,13087
Chicago Blackhawks,20053
Chicago Blackhawks,28093
Chicago Blackhawks,17069
Chicago Blackhawks,19025
Chicago Blackhawks,13109
Chicago Blackhawks,40007
Chicago Blackhawks,20043
Chicago Blackhawks,31085
Colorado Avalanche,8031
Colorado Avalanche,8073
Colorado Avalanche,8005
Colorado Avalanche,8035
Colorado Avalanche,8041
Colorado Avalanche,8001
Colorado Avalanche,8123
Colorado Avalanche,8013
Colorado Avalanche,8069
Colorado Avalanche,8014
Colorado Avalanche,8101
Colorado Avalanche,8077
Colorado Avalanche,56021
Colorado Avalanche,8037
Colorado Avalanche,8117
Colorado Avalanche,8045
Colorado Avalanche,35001
Colorado Avalanche,56025
Colorado Avalanche,8107
Colorado Avalanche,56001
Colorado Avalanche,56037
Colorado Avalanche,8067
Colorado Avalanche,30111
Colorado Avalanche,31035
Colorado Avalanche,8051
Colorado Avalanche,8085
Colorado Avalanche,8043
Colorado Avalanche,8039
Colorado Avalanche,8049
Colorado Avalanche,8119
Colorado Avalanche,8029
Colorado Avalanche,8083
Colorado Avalanche,56179
Colorado Avalanche,31157
Colorado Avalanche,56037
Colorado Avalanche,8103
Colorado Avalanche,31109
Colorado Avalanche,8015
Colorado Avalanche,46113
Colorado Avalanche,8003
Colorado Avalanche,8093
Colorado Avalanche,8097
Colorado Avalanche,35049
Colorado Avalanche,8089
Colorado Avalanche,35043
Colorado Avalanche,35111
Colorado Avalanche,20115
Colorado Avalanche,8081
Colorado Avalanche,56009
Colorado Avalanche,56043
Colorado Avalanche,56093
Colorado Avalanche,31079
Colorado Avalanche,8083
Colorado Avalanche,8105
Colorado Avalanche,8113
Colorado Avalanche,8033
Colorado Avalanche,35028
Colorado Avalanche,49047
Colorado Avalanche,8027
Colorado Avalanche,56071
Colorado Avalanche,8071
Colorado Avalanche,31019
Colorado Avalanche,56009
Colorado Avalanche,35055
Colorado Avalanche,8019
Colorado Avalanche,49005
Colorado Avalanche,35015
Colorado Avalanche,31017
Colorado Avalanche,8047
Colorado Avalanche,56035
Colorado Avalanche,8103
Colorado Avalanche,35005
Colorado Avalanche,20055
Colorado Avalanche,56165
Colorado Avalanche,8107
Colorado Avalanche,31017
Colorado Avalanche,8129
Colorado Avalanche,56015
Colorado Avalanche,8099
Colorado Avalanche,8063
Colorado Avalanche,8027
Colorado Avalanche,20051
Colorado Avalanche,8025
Colorado Avalanche,5131
Colorado Avalanche,19301
Colorado Avalanche,8007
Colorado Avalanche,20053
Colorado Avalanche,31101
Colorado Avalanche,8091
Colorado Avalanche,35113
Colorado Avalanche,46079
Colorado Avalanche,35061
Colorado Avalanche,31001
Colorado Avalanche,56045
Colorado Avalanche,20275
Colorado Avalanche,31013
Colorado Avalanche,56017
Colorado Avalanche,30027
Colorado Avalanche,8079
Colorado Avalanche,31123
Colorado Avalanche,8017
Colorado Avalanche,31085
Colorado Avalanche,56043
Colorado Avalanche,22109
Colorado Avalanche,20013
Colorado Avalanche,8021
Colorado Avalanche,20061
Colorado Avalanche,16081
Colorado Avalanche,31061
Colorado Avalanche,20157
Colorado Avalanche,48265
Colorado Avalanche,30065
Colorado Avalanche,20181
Colorado Avalanche,31045
Colorado Avalanche,56003
Colorado Avalanche,20017
Colorado Avalanche,13003
Colorado Avalanche,30085
Colorado Avalanche,16011
Colorado Avalanche,41059
Colorado Avalanche,20155
Colorado Avalanche,35037
Colorado Avalanche,31017
Colorado Avalanche,20083
Colorado Avalanche,40139
Colorado Avalanche,30039
Colorado Avalanche,22101
Colorado Avalanche,8011
Colorado Avalanche,20009
Colorado Avalanche,49013
Colorado Avalanche,8071
Colorado Avalanche,31105
Colorado Avalanche,8061
Colorado Avalanche,31067
Colorado Avalanche,46007
Colorado Avalanche,31165
Colorado Avalanche,20175
Colorado Avalanche,31073
Colorado Avalanche,16047
Colorado Avalanche,8115
Colorado Avalanche,30009
Colorado Avalanche,8055
Colorado Avalanche,35079
Colorado Avalanche,51245
Colorado Avalanche,20059
Colorado Avalanche,18073
Colorado Avalanche,8109
Colorado Avalanche,45003
Colorado Avalanche,31083
Colorado Avalanche,48169
Colorado Avalanche,20081
Colorado Avalanche,20069
Colorado Avalanche,8033
Colorado Avalanche,46047
Colorado Avalanche,8023
Colorado Avalanche,31031
Colorado Avalanche,40001
Colorado Avalanche,31065
Colorado Avalanche,20071
Colorado Avalanche,46027
Colorado Avalanche,5015
Colorado Avalanche,1019
Colorado Avalanche,20149
Colorado Avalanche,31095
Colorado Avalanche,56027
Colorado Avalanche,20195
Colorado Avalanche,54457
Colorado Avalanche,31049
Colorado Avalanche,20087
Colorado Avalanche,31125
Colorado Avalanche,46053
Colorado Avalanche,2060
Colorado Avalanche,20093
Colorado Avalanche,20101
Colorado Avalanche,8079
Colorado Avalanche,20027
Colorado Avalanche,20153
Colorado Avalanche,31145
Colorado Avalanche,21011
Colorado Avalanche,48175
Colorado Avalanche,31091
Colorado Avalanche,48185
Colorado Avalanche,31045
Colorado Avalanche,20187
Colorado Avalanche,46123
Colorado Avalanche,40029
Colorado Avalanche,20033
Colorado Avalanche,22021
Colorado Avalanche,1029
Colorado Avalanche,31059
Colorado Avalanche,20185
Colorado Avalanche,38011
Colorado Avalanche,31125
Colorado Avalanche,46007
Colorado Avalanche,20009
Colorado Avalanche,31005
Colorado Avalanche,20179
Colorado Avalanche,22099
Colorado Avalanche,22159
Colorado Avalanche,38083
Colorado Avalanche,49305
Colorado Avalanche,28239
Colorado Avalanche,20159
Colorado Avalanche,56013
Colorado Avalanche,13213
Colorado Avalanche,31169
Colorado Avalanche,40079
Colorado Avalanche,35091
Colorado Avalanche,31135
Colorado Avalanche,30055
Colorado Avalanche,48071
Colorado Avalanche,22071
Colorado Avalanche,20089
Colorado Avalanche,41117
Colorado Avalanche,20119
Colorado Avalanche,5099
Colorado Avalanche,20203
Colorado Avalanche,5041
Colorado Avalanche,28029
Colorado Avalanche,20199
Colorado Avalanche,#N/A
Colorado Avalanche,20127
Colorado Avalanche,35057
Colorado Avalanche,20019
Colorado Avalanche,46102
Colorado Avalanche,20061
Columbus Blue Jackets,39059
Columbus Blue Jackets,39035
Columbus Blue Jackets,39001
Columbus Blue Jackets,39101
Columbus Blue Jackets,39035
Columbus Blue Jackets,39089
Columbus Blue Jackets,39047
Columbus Blue Jackets,39117
Columbus Blue Jackets,39019
Columbus Blue Jackets,39301
Columbus Blue Jackets,39119
Columbus Blue Jackets,39013
Columbus Blue Jackets,39089
Columbus Blue Jackets,39063
Columbus Blue Jackets,39175
Columbus Blue Jackets,39139
Columbus Blue Jackets,39159
Columbus Blue Jackets,39129
Columbus Blue Jackets,39003
Columbus Blue Jackets,39093
Columbus Blue Jackets,39103
Columbus Blue Jackets,39103
Columbus Blue Jackets,39033
Columbus Blue Jackets,39083
Columbus Blue Jackets,39141
Columbus Blue Jackets,39095
Columbus Blue Jackets,39025
Columbus Blue Jackets,39105
Columbus Blue Jackets,39305
Columbus Blue Jackets,39093
Columbus Blue Jackets,39019
Columbus Blue Jackets,39011
Columbus Blue Jackets,39145
Columbus Blue Jackets,39131
Columbus Blue Jackets,39033
Columbus Blue Jackets,39141
Columbus Blue Jackets,39129
Columbus Blue Jackets,39175
Columbus Blue Jackets,39009
Columbus Blue Jackets,39005
Columbus Blue Jackets,39037
Columbus Blue Jackets,39059
Columbus Blue Jackets,39157
Columbus Blue Jackets,21117
Columbus Blue Jackets,39069
Columbus Blue Jackets,54107
Columbus Blue Jackets,39107
Columbus Blue Jackets,39031
Columbus Blue Jackets,39057
Columbus Blue Jackets,39029
Columbus Blue Jackets,39055
Columbus Blue Jackets,39071
Columbus Blue Jackets,39063
Columbus Blue Jackets,21009
Columbus Blue Jackets,39073
Columbus Blue Jackets,39117
Columbus Blue Jackets,39135
Columbus Blue Jackets,39071
Columbus Blue Jackets,39117
Columbus Blue Jackets,39079
Columbus Blue Jackets,39027
Columbus Blue Jackets,39099
Columbus Blue Jackets,21037
Columbus Blue Jackets,39109
Columbus Blue Jackets,39053
Columbus Blue Jackets,39007
Columbus Blue Jackets,21019
Columbus Blue Jackets,18111
Columbus Blue Jackets,39161
Columbus Blue Jackets,18141
Columbus Blue Jackets,18139
Columbus Blue Jackets,39113
Columbus Blue Jackets,39105
Columbus Blue Jackets,18029
Columbus Blue Jackets,18305
Columbus Blue Jackets,39009
Columbus Blue Jackets,39059
Columbus Blue Jackets,39015
Columbus Blue Jackets,18035
Columbus Blue Jackets,54125
Columbus Blue Jackets,18061
Columbus Blue Jackets,40079
Columbus Blue Jackets,39103
Columbus Blue Jackets,21053
Columbus Blue Jackets,18179
Columbus Blue Jackets,18053
Columbus Blue Jackets,18071
Columbus Blue Jackets,54089
Columbus Blue Jackets,18107
Columbus Blue Jackets,18027
Columbus Blue Jackets,21305
Columbus Blue Jackets,28141
Columbus Blue Jackets,54191
Columbus Blue Jackets,39163
Columbus Blue Jackets,39001
Columbus Blue Jackets,18129
Columbus Blue Jackets,22093
Columbus Blue Jackets,21061
Columbus Blue Jackets,18085
Columbus Blue Jackets,51071
Columbus Blue Jackets,21065
Columbus Blue Jackets,20079
Columbus Blue Jackets,18155
Columbus Blue Jackets,18015
Columbus Blue Jackets,16007
Columbus Blue Jackets,18115
Dallas Stars,48047
Dallas Stars,48439
Dallas Stars,48085
Dallas Stars,48121
Dallas Stars,48145
Dallas Stars,48397
Dallas Stars,48453
Dallas Stars,48051
Dallas Stars,48183
Dallas Stars,48257
Dallas Stars,48071
Dallas Stars,48101
Dallas Stars,48029
Dallas Stars,48367
Dallas Stars,48111
Dallas Stars,48309
Dallas Stars,48123
Dallas Stars,48199
Dallas Stars,48085
Dallas Stars,40109
Dallas Stars,48013
Dallas Stars,48041
Dallas Stars,48167
Dallas Stars,48221
Dallas Stars,48157
Dallas Stars,48183
Dallas Stars,48303
Dallas Stars,48203
Dallas Stars,48097
Dallas Stars,48071
Dallas Stars,48381
Dallas Stars,48039
Dallas Stars,48231
Dallas Stars,48451
Dallas Stars,48497
Dallas Stars,48209
Dallas Stars,48135
Dallas Stars,40143
Dallas Stars,48107
Dallas Stars,48467
Dallas Stars,48355
Dallas Stars,40025
Dallas Stars,5129
Dallas Stars,22015
Dallas Stars,22015
Dallas Stars,48037
Dallas Stars,48023
Dallas Stars,48173
Dallas Stars,48349
Dallas Stars,48105
Dallas Stars,48099
Dallas Stars,48091
Dallas Stars,40033
Dallas Stars,48363
Dallas Stars,48019
Dallas Stars,35025
Dallas Stars,48075
Dallas Stars,48041
Dallas Stars,22103
Dallas Stars,22079
Dallas Stars,48347
Dallas Stars,48161
Dallas Stars,48019
Dallas Stars,48003
Dallas Stars,48009
Dallas Stars,48127
Dallas Stars,22019
Dallas Stars,48469
Dallas Stars,40017
Dallas Stars,48503
Dallas Stars,48143
Dallas Stars,40115
Dallas Stars,48111
Dallas Stars,22089
Dallas Stars,48059
Dallas Stars,48005
Dallas Stars,48035
Dallas Stars,16083
Dallas Stars,40149
Dallas Stars,48015
Dallas Stars,40043
Dallas Stars,48299
Dallas Stars,48337
Dallas Stars,48069
Dallas Stars,48033
Dallas Stars,48101
Dallas Stars,40127
Dallas Stars,40029
Dallas Stars,48017
Dallas Stars,48459
Dallas Stars,48083
Dallas Stars,48067
Dallas Stars,48481
Dallas Stars,48201
Dallas Stars,48127
Dallas Stars,48379
Dallas Stars,48501
Dallas Stars,48237
Dallas Stars,48387
Dallas Stars,48117
Dallas Stars,48401
Dallas Stars,48059
Dallas Stars,48281
Dallas Stars,48061
Dallas Stars,48125
Dallas Stars,22283
Dallas Stars,48171
Dallas Stars,48059
Dallas Stars,48165
Dallas Stars,40037
Dallas Stars,22079
Dallas Stars,48077
Dallas Stars,48205
Dallas Stars,48033
Dallas Stars,48133
Dallas Stars,40085
Dallas Stars,48331
Dallas Stars,48085
Dallas Stars,48025
Dallas Stars,22217
Dallas Stars,48257
Dallas Stars,48023
Dallas Stars,48021
Dallas Stars,48107
Dallas Stars,48031
Dallas Stars,48399
Dallas Stars,40045
Dallas Stars,1079
Dallas Stars,48487
Dallas Stars,48061
Dallas Stars,40095
Dallas Stars,48125
Dallas Stars,40191
Dallas Stars,5057
Dallas Stars,48185
Dallas Stars,48463
Dallas Stars,40131
Dallas Stars,48113
Dallas Stars,5133
Dallas Stars,48063
Dallas Stars,40121
Dallas Stars,48089
Dallas Stars,20189
Dallas Stars,5101
Dallas Stars,48085
Dallas Stars,40129
Dallas Stars,48057
Dallas Stars,22001
Dallas Stars,48495
Dallas Stars,48413
Dallas Stars,28301
Dallas Stars,48095
Dallas Stars,1131
Dallas Stars,48127
Dallas Stars,48279
Dallas Stars,48069
Dallas Stars,40003
Dallas Stars,48391
Dallas Stars,5109
Dallas Stars,48305
Dallas Stars,5003
Dallas Stars,22031
Dallas Stars,48117
Dallas Stars,28007
Dallas Stars,48273
Dallas Stars,5113
Dallas Stars,22097
Dallas Stars,48249
Dallas Stars,48449
Dallas Stars,48007
Dallas Stars,49007
Dallas Stars,40141
Dallas Stars,48159
Dallas Stars,48009
Dallas Stars,48139
Dallas Stars,40151
Dallas Stars,48129
Dallas Stars,48083
Dallas Stars,48425
Dallas Stars,20011
Dallas Stars,48437
Dallas Stars,5027
Dallas Stars,48089
Dallas Stars,48403
Dallas Stars,5015
Dallas Stars,20071
Dallas Stars,48371
Dallas Stars,48081
Dallas Stars,48385
Dallas Stars,48081
Dallas Stars,48417
Dallas Stars,48029
Dallas Stars,48103
Dallas Stars,40061
Dallas Stars,48145
Dallas Stars,40077
Dallas Stars,48093
Dallas Stars,1119
Dallas Stars,48015
Detroit Red Wings,26125
Detroit Red Wings,26305
Detroit Red Wings,26099
Detroit Red Wings,26001
Detroit Red Wings,26049
Detroit Red Wings,26105
Detroit Red Wings,26161
Detroit Red Wings,39117
Detroit Red Wings,26115
Detroit Red Wings,26077
Detroit Red Wings,26099
Detroit Red Wings,26065
Detroit Red Wings,26145
Detroit Red Wings,26071
Detroit Red Wings,26143
Detroit Red Wings,26121
Detroit Red Wings,26055
Detroit Red Wings,26005
Detroit Red Wings,26045
Detroit Red Wings,26111
Detroit Red Wings,39173
Detroit Red Wings,26015
Detroit Red Wings,26087
Detroit Red Wings,26005
Detroit Red Wings,26091
Detroit Red Wings,26027
Detroit Red Wings,18003
Detroit Red Wings,26103
Detroit Red Wings,26155
Detroit Red Wings,26033
Detroit Red Wings,26063
Detroit Red Wings,26019
Detroit Red Wings,26073
Detroit Red Wings,26063
Detroit Red Wings,26007
Detroit Red Wings,26157
Detroit Red Wings,26107
Detroit Red Wings,26151
Detroit Red Wings,26067
Detroit Red Wings,26069
Detroit Red Wings,26059
Detroit Red Wings,26059
Detroit Red Wings,26137
Detroit Red Wings,26031
Detroit Red Wings,26141
Detroit Red Wings,26061
Detroit Red Wings,26117
Detroit Red Wings,26143
Detroit Red Wings,26029
Detroit Red Wings,26015
Detroit Red Wings,26141
Detroit Red Wings,39049
Detroit Red Wings,26165
Detroit Red Wings,26057
Detroit Red Wings,26023
Detroit Red Wings,26141
Detroit Red Wings,26123
Detroit Red Wings,26051
Detroit Red Wings,26101
Detroit Red Wings,26035
Detroit Red Wings,26097
Detroit Red Wings,26029
Detroit Red Wings,26129
Detroit Red Wings,22073
Detroit Red Wings,26011
Detroit Red Wings,39143
Detroit Red Wings,26009
Detroit Red Wings,26125
Detroit Red Wings,18049
Detroit Red Wings,26089
Detroit Red Wings,39143
Detroit Red Wings,39039
Detroit Red Wings,26019
Detroit Red Wings,26127
Detroit Red Wings,26153
Detroit Red Wings,39067
Detroit Red Wings,26079
Detroit Red Wings,26097
Detroit Red Wings,26001
Detroit Red Wings,18005
Detroit Red Wings,18001
Detroit Red Wings,26017
Detroit Red Wings,26033
Detroit Red Wings,18151
Detroit Red Wings,55075
Detroit Red Wings,26095
Detroit Red Wings,39105
Detroit Red Wings,26109
Detroit Red Wings,18113
Detroit Red Wings,26119
Detroit Red Wings,26003
Detroit Red Wings,55083
Detroit Red Wings,13069
Detroit Red Wings,26071
Detroit Red Wings,45037
Detroit Red Wings,20079
Detroit Red Wings,26113
Detroit Red Wings,18017
Detroit Red Wings,39223
Detroit Red Wings,51021
