team,billing_county,county,,state_abbr,state_name,state_fips,geo_type,county_name,county_name_full,join,GEOID
Nashville Predators,"Modoc, CA",Modoc, CA,CA,California,06,County,Modoc County,"Modoc County, California",Modoc County06,12069
Nashville Predators,"Benton, MS",Benton, MS,MS,Mississippi,28,County,Benton County,"Benton County, Mississippi",Benton County28,#N/A
Nashville Predators,"Monroe, WV",Monroe, WV,WV,West Virginia,54,County,Monroe County,"Monroe County, West Virginia",Monroe County54,12069
Nashville Predators,"Custer, NE",Custer, NE,NE,Nebraska,31,County,Custer County,"Custer County, Nebraska",Custer County31,19025
Nashville Predators,"Dallas, AR",Dallas, AR,AR,Arkansas,05,County,Dallas County,"Dallas County, Arkansas",Dallas County05,19025
Nashville Predators,"Montgomery, MS",Montgomery, MS,MS,Mississippi,28,County,Montgomery County,"Montgomery County, Mississippi",Montgomery County28,12069
Nashville Predators,"Dickenson, VA",Dickenson, VA,VA,Virginia,51,County,Dickenson County,"Dickenson County, Virginia",Dickenson County51,19025
Nashville Predators,"Lincoln, GA",Lincoln, GA,GA,Georgia,13,County,Lincoln County,"Lincoln County, Georgia",Lincoln County13,48159
Nashville Predators,"Macon, AL",Macon, AL,AL,Alabama,01,County,Macon County,"Macon County, Alabama",Macon County01,48159
Nashville Predators,"Millard, UT",Millard, UT,UT,Utah,49,County,Millard County,"Millard County, Utah",Millard County49,12069
Nashville Predators,"Montgomery, KY",Montgomery, KY,KY,Kentucky,21,County,Montgomery County,"Montgomery County, Kentucky",Montgomery County21,12069
Nashville Predators,"Wise, VA",Wise, VA,VA,Virginia,51,County,Wise County,"Wise County, Virginia",Wise County51,1067
Nashville Predators,"Crisp, GA",Crisp, GA,GA,Georgia,13,County,Crisp County,"Crisp County, Georgia",Crisp County13,19025
Nashville Predators,"Carroll, MS",Carroll, MS,MS,Mississippi,28,County,Carroll County,"Carroll County, Mississippi",Carroll County28,19025
Nashville Predators,"Scott, VA",Scott, VA,VA,Virginia,51,County,Scott County,"Scott County, Virginia",Scott County51,47059
Nashville Predators,"Yalobusha, MS",Yalobusha, MS,MS,Mississippi,28,County,Yalobusha County,"Yalobusha County, Mississippi",Yalobusha County28,39175
Nashville Predators,"Madison, AR",Madison, AR,AR,Arkansas,05,County,Madison County,"Madison County, Arkansas",Madison County05,48159
Nashville Predators,"Escambia, AL",Escambia, AL,AL,Alabama,01,County,Escambia County,"Escambia County, Alabama",Escambia County01,19025
Nashville Predators,"Clay, MS",Clay, MS,MS,Mississippi,28,County,Clay County,"Clay County, Mississippi",Clay County28,19025
Nashville Predators,"Kemper, MS",Kemper, MS,MS,Mississippi,28,County,Kemper County,"Kemper County, Mississippi",Kemper County28,48159
